"GEO_ID","NAME","B25002_001E","B25002_001M","B25002_002E","B25002_002M","B25002_003E","B25002_003M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Occupied","Margin of Error!!Total:!!Occupied","Estimate!!Total:!!Vacant","Margin of Error!!Total:!!Vacant",
"1400000US19001960100","Census Tract 9601, Adair County, Iowa","1321","92","1147","103","174","69",
"1400000US19001960200","Census Tract 9602, Adair County, Iowa","831","70","675","69","156","47",
"1400000US19001960300","Census Tract 9603, Adair County, Iowa","1557","98","1395","103","162","60",
"1400000US19003950100","Census Tract 9501, Adams County, Iowa","835","55","704","68","131","58",
"1400000US19003950200","Census Tract 9502, Adams County, Iowa","1176","56","923","74","253","72",
"1400000US19005960100","Census Tract 9601, Allamakee County, Iowa","1517","124","1013","137","504","93",
"1400000US19005960200","Census Tract 9602, Allamakee County, Iowa","1082","145","1025","149","57","55",
"1400000US19005960300","Census Tract 9603, Allamakee County, Iowa","1986","157","1784","139","202","105",
"1400000US19005960400","Census Tract 9604, Allamakee County, Iowa","1952","135","947","108","1005","120",
"1400000US19005960500","Census Tract 9605, Allamakee County, Iowa","1279","89","1178","100","101","58",
"1400000US19007950100","Census Tract 9501, Appanoose County, Iowa","1188","113","906","103","282","83",
"1400000US19007950200","Census Tract 9502, Appanoose County, Iowa","1014","89","720","75","294","83",
"1400000US19007950300","Census Tract 9503, Appanoose County, Iowa","1820","186","1426","200","394","148",
"1400000US19007950400","Census Tract 9504, Appanoose County, Iowa","1602","133","1354","137","248","107",
"1400000US19007950500","Census Tract 9505, Appanoose County, Iowa","1015","90","790","81","225","61",
"1400000US19009070100","Census Tract 701, Audubon County, Iowa","900","76","784","78","116","45",
"1400000US19009070200","Census Tract 702, Audubon County, Iowa","1257","102","1132","112","125","59",
"1400000US19009070300","Census Tract 703, Audubon County, Iowa","831","85","775","85","56","28",
"1400000US19011960100","Census Tract 9601, Benton County, Iowa","1117","100","1057","113","60","47",
"1400000US19011960200","Census Tract 9602, Benton County, Iowa","1316","81","1251","82","65","28",
"1400000US19011960300","Census Tract 9603, Benton County, Iowa","2523","186","2249","163","274","158",
"1400000US19011960400","Census Tract 9604, Benton County, Iowa","1446","118","1351","130","95","69",
"1400000US19011960500","Census Tract 9605, Benton County, Iowa","2302","121","2172","127","130","45",
"1400000US19011960600","Census Tract 9606, Benton County, Iowa","1182","83","1078","93","104","48",
"1400000US19011960700","Census Tract 9607, Benton County, Iowa","1301","105","1148","105","153","59",
"1400000US19013000100","Census Tract 1, Black Hawk County, Iowa","1072","142","864","144","208","73",
"1400000US19013000200","Census Tract 2, Black Hawk County, Iowa","1243","168","1057","186","186","116",
"1400000US19013000300","Census Tract 3, Black Hawk County, Iowa","1623","201","1251","190","372","111",
"1400000US19013000400","Census Tract 4, Black Hawk County, Iowa","779","97","762","99","17","19",
"1400000US19013000500","Census Tract 5, Black Hawk County, Iowa","688","103","625","113","63","41",
"1400000US19013000700","Census Tract 7, Black Hawk County, Iowa","660","128","552","138","108","64",
"1400000US19013000800","Census Tract 8, Black Hawk County, Iowa","1849","263","1496","217","353","151",
"1400000US19013000900","Census Tract 9, Black Hawk County, Iowa","1282","121","1214","129","68","65",
"1400000US19013001000","Census Tract 10, Black Hawk County, Iowa","1560","164","1463","178","97","63",
"1400000US19013001100","Census Tract 11, Black Hawk County, Iowa","1280","204","1207","208","73","67",
"1400000US19013001200","Census Tract 12, Black Hawk County, Iowa","1152","140","969","123","183","90",
"1400000US19013001301","Census Tract 13.01, Black Hawk County, Iowa","1898","129","1729","137","169","83",
"1400000US19013001302","Census Tract 13.02, Black Hawk County, Iowa","1734","178","1617","201","117","81",
"1400000US19013001400","Census Tract 14, Black Hawk County, Iowa","1979","185","1834","198","145","80",
"1400000US19013001501","Census Tract 15.01, Black Hawk County, Iowa","1702","212","1592","218","110","70",
"1400000US19013001502","Census Tract 15.02, Black Hawk County, Iowa","1971","199","1891","211","80","69",
"1400000US19013001503","Census Tract 15.03, Black Hawk County, Iowa","1578","124","1452","131","126","74",
"1400000US19013001600","Census Tract 16, Black Hawk County, Iowa","1213","137","1133","151","80","69",
"1400000US19013001701","Census Tract 17.01, Black Hawk County, Iowa","946","152","799","149","147","64",
"1400000US19013001702","Census Tract 17.02, Black Hawk County, Iowa","1009","95","881","117","128","70",
"1400000US19013001800","Census Tract 18, Black Hawk County, Iowa","828","180","788","178","40","40",
"1400000US19013001900","Census Tract 19, Black Hawk County, Iowa","884","81","748","94","136","52",
"1400000US19013002000","Census Tract 20, Black Hawk County, Iowa","2789","255","2607","235","182","128",
"1400000US19013002200","Census Tract 22, Black Hawk County, Iowa","1927","179","1848","184","79","67",
"1400000US19013002301","Census Tract 23.01, Black Hawk County, Iowa","967","98","927","92","40","45",
"1400000US19013002303","Census Tract 23.03, Black Hawk County, Iowa","461","78","411","73","50","48",
"1400000US19013002304","Census Tract 23.04, Black Hawk County, Iowa","1074","122","967","129","107","78",
"1400000US19013002400","Census Tract 24, Black Hawk County, Iowa","1743","122","1667","135","76","81",
"1400000US19013002500","Census Tract 25, Black Hawk County, Iowa","2510","206","2356","232","154","138",
"1400000US19013002601","Census Tract 26.01, Black Hawk County, Iowa","2422","249","2151","248","271","143",
"1400000US19013002604","Census Tract 26.04, Black Hawk County, Iowa","1719","121","1598","107","121","70",
"1400000US19013002605","Census Tract 26.05, Black Hawk County, Iowa","2484","194","2381","204","103","126",
"1400000US19013002606","Census Tract 26.06, Black Hawk County, Iowa","2061","474","2061","474","0","14",
"1400000US19013002700","Census Tract 27, Black Hawk County, Iowa","1645","121","1581","111","64","49",
"1400000US19013002800","Census Tract 28, Black Hawk County, Iowa","1247","136","1062","87","185","139",
"1400000US19013002901","Census Tract 29.01, Black Hawk County, Iowa","528","58","493","52","35","32",
"1400000US19013002902","Census Tract 29.02, Black Hawk County, Iowa","1688","128","1535","129","153","67",
"1400000US19013003001","Census Tract 30.01, Black Hawk County, Iowa","2430","199","2324","199","106","105",
"1400000US19013003002","Census Tract 30.02, Black Hawk County, Iowa","1562","109","1428","115","134","65",
"1400000US19015020100","Census Tract 201, Boone County, Iowa","1390","137","1334","148","56","43",
"1400000US19015020200","Census Tract 202, Boone County, Iowa","1717","137","1483","139","234","106",
"1400000US19015020300","Census Tract 203, Boone County, Iowa","2993","183","2646","208","347","170",
"1400000US19015020400","Census Tract 204, Boone County, Iowa","1019","127","957","113","62","70",
"1400000US19015020500","Census Tract 205, Boone County, Iowa","2130","182","2007","179","123","68",
"1400000US19015020600","Census Tract 206, Boone County, Iowa","884","111","850","116","34","31",
"1400000US19015020700","Census Tract 207, Boone County, Iowa","1884","148","1524","140","360","110",
"1400000US19017004000","Census Tract 40, Bremer County, Iowa","676","90","628","94","48","45",
"1400000US19017004100","Census Tract 41, Bremer County, Iowa","1428","109","1347","105","81","61",
"1400000US19017004200","Census Tract 42, Bremer County, Iowa","1818","115","1651","131","167","110",
"1400000US19017004300","Census Tract 43, Bremer County, Iowa","814","90","739","96","75","41",
"1400000US19017004400","Census Tract 44, Bremer County, Iowa","1231","119","1153","112","78","63",
"1400000US19017004500","Census Tract 45, Bremer County, Iowa","1266","109","1147","101","119","60",
"1400000US19017004600","Census Tract 46, Bremer County, Iowa","2232","118","2082","126","150","82",
"1400000US19017004700","Census Tract 47, Bremer County, Iowa","1038","83","933","99","105","59",
"1400000US19019950100","Census Tract 9501, Buchanan County, Iowa","1072","83","1001","82","71","24",
"1400000US19019950200","Census Tract 9502, Buchanan County, Iowa","1434","109","1298","93","136","66",
"1400000US19019950300","Census Tract 9503, Buchanan County, Iowa","1442","123","1169","122","273","86",
"1400000US19019950400","Census Tract 9504, Buchanan County, Iowa","1316","115","1206","135","110","77",
"1400000US19019950500","Census Tract 9505, Buchanan County, Iowa","1867","155","1575","149","292","103",
"1400000US19019950600","Census Tract 9506, Buchanan County, Iowa","1982","128","1778","126","204","84",
"1400000US19021960100","Census Tract 9601, Buena Vista County, Iowa","685","56","615","58","70","27",
"1400000US19021960200","Census Tract 9602, Buena Vista County, Iowa","879","69","778","70","101","31",
"1400000US19021960300","Census Tract 9603, Buena Vista County, Iowa","765","80","686","82","79","37",
"1400000US19021960400","Census Tract 9604, Buena Vista County, Iowa","2492","209","2251","219","241","112",
"1400000US19021960500","Census Tract 9605, Buena Vista County, Iowa","1979","188","1933","188","46","47",
"1400000US19021960600","Census Tract 9606, Buena Vista County, Iowa","1492","125","1321","113","171","64",
"1400000US19023070100","Census Tract 701, Butler County, Iowa","1323","81","1220","75","103","58",
"1400000US19023070200","Census Tract 702, Butler County, Iowa","902","78","834","74","68","30",
"1400000US19023070300","Census Tract 703, Butler County, Iowa","1440","96","1295","81","145","51",
"1400000US19023070400","Census Tract 704, Butler County, Iowa","1738","92","1539","95","199","79",
"1400000US19023070500","Census Tract 705, Butler County, Iowa","1401","98","1265","89","136","58",
"1400000US19025950100","Census Tract 9501, Calhoun County, Iowa","1517","104","1107","108","410","118",
"1400000US19025950200","Census Tract 9502, Calhoun County, Iowa","1569","116","1254","112","315","76",
"1400000US19025950300","Census Tract 9503, Calhoun County, Iowa","967","82","787","86","180","52",
"1400000US19025950400","Census Tract 9504, Calhoun County, Iowa","1055","68","955","73","100","43",
"1400000US19027960100","Census Tract 9601, Carroll County, Iowa","1609","125","1335","100","274","111",
"1400000US19027960200","Census Tract 9602, Carroll County, Iowa","1109","101","1048","101","61","43",
"1400000US19027960300","Census Tract 9603, Carroll County, Iowa","2836","168","2695","186","141","124",
"1400000US19027960400","Census Tract 9604, Carroll County, Iowa","1960","143","1745","168","215","109",
"1400000US19027960500","Census Tract 9605, Carroll County, Iowa","857","68","766","79","91","41",
"1400000US19027960600","Census Tract 9606, Carroll County, Iowa","1148","99","1062","99","86","51",
"1400000US19029190100","Census Tract 1901, Cass County, Iowa","1149","96","960","82","189","77",
"1400000US19029190200","Census Tract 1902, Cass County, Iowa","1146","110","1004","108","142","72",
"1400000US19029190300","Census Tract 1903, Cass County, Iowa","713","80","638","82","75","28",
"1400000US19029190400","Census Tract 1904, Cass County, Iowa","2069","138","2013","153","56","59",
"1400000US19029190500","Census Tract 1905, Cass County, Iowa","1506","160","1286","156","220","125",
"1400000US19031450100","Census Tract 4501, Cedar County, Iowa","1435","91","1305","99","130","51",
"1400000US19031450200","Census Tract 4502, Cedar County, Iowa","1585","110","1396","110","189","83",
"1400000US19031450300","Census Tract 4503, Cedar County, Iowa","1547","135","1384","125","163","93",
"1400000US19031450400","Census Tract 4504, Cedar County, Iowa","1275","92","1207","97","68","32",
"1400000US19031450500","Census Tract 4505, Cedar County, Iowa","2402","126","2180","164","222","111",
"1400000US19033950102","Census Tract 9501.02, Cerro Gordo County, Iowa","2375","222","2110","211","265","144",
"1400000US19033950201","Census Tract 9502.01, Cerro Gordo County, Iowa","1394","146","1379","145","15","24",
"1400000US19033950202","Census Tract 9502.02, Cerro Gordo County, Iowa","2030","205","1868","218","162","140",
"1400000US19033950300","Census Tract 9503, Cerro Gordo County, Iowa","2357","234","2062","287","295","181",
"1400000US19033950402","Census Tract 9504.02, Cerro Gordo County, Iowa","2126","193","1942","199","184","118",
"1400000US19033950600","Census Tract 9506, Cerro Gordo County, Iowa","977","103","912","109","65","36",
"1400000US19033950700","Census Tract 9507, Cerro Gordo County, Iowa","2181","156","1745","167","436","124",
"1400000US19033950800","Census Tract 9508, Cerro Gordo County, Iowa","2730","203","2147","209","583","152",
"1400000US19033950900","Census Tract 9509, Cerro Gordo County, Iowa","1396","113","823","106","573","90",
"1400000US19033951000","Census Tract 9510, Cerro Gordo County, Iowa","1277","124","1101","125","176","53",
"1400000US19033951400","Census Tract 9514, Cerro Gordo County, Iowa","1608","128","1519","152","89","72",
"1400000US19033951600","Census Tract 9516, Cerro Gordo County, Iowa","1913","194","1844","183","69","59",
"1400000US19035080101","Census Tract 801.01, Cherokee County, Iowa","1582","130","1489","125","93","101",
"1400000US19035080102","Census Tract 801.02, Cherokee County, Iowa","858","132","844","127","14","23",
"1400000US19035080200","Census Tract 802, Cherokee County, Iowa","1329","117","1246","118","83","32",
"1400000US19035080300","Census Tract 803, Cherokee County, Iowa","770","64","653","71","117","45",
"1400000US19035080400","Census Tract 804, Cherokee County, Iowa","1195","103","1065","97","130","52",
"1400000US19037070100","Census Tract 701, Chickasaw County, Iowa","1400","116","1218","125","182","68",
"1400000US19037070200","Census Tract 702, Chickasaw County, Iowa","1151","103","1010","116","141","49",
"1400000US19037070300","Census Tract 703, Chickasaw County, Iowa","1200","94","1126","90","74","40",
"1400000US19037070400","Census Tract 704, Chickasaw County, Iowa","1951","168","1753","157","198","95",
"1400000US19039960100","Census Tract 9601, Clarke County, Iowa","2622","134","2374","154","248","144",
"1400000US19039960200","Census Tract 9602, Clarke County, Iowa","862","91","831","89","31","27",
"1400000US19039960300","Census Tract 9603, Clarke County, Iowa","841","87","745","85","96","38",
"1400000US19041080100","Census Tract 801, Clay County, Iowa","979","106","783","93","196","78",
"1400000US19041080200","Census Tract 802, Clay County, Iowa","2680","194","2293","205","387","191",
"1400000US19041080301","Census Tract 803.01, Clay County, Iowa","1913","195","1807","202","106","79",
"1400000US19041080302","Census Tract 803.02, Clay County, Iowa","1187","140","1163","132","24","58",
"1400000US19041080400","Census Tract 804, Clay County, Iowa","1533","146","1335","129","198","85",
"1400000US19043070100","Census Tract 701, Clayton County, Iowa","1698","133","1436","126","262","85",
"1400000US19043070200","Census Tract 702, Clayton County, Iowa","1663","105","1389","121","274","91",
"1400000US19043070300","Census Tract 703, Clayton County, Iowa","1619","112","1412","119","207","76",
"1400000US19043070400","Census Tract 704, Clayton County, Iowa","1594","137","1181","135","413","99",
"1400000US19043070500","Census Tract 705, Clayton County, Iowa","1010","86","768","86","242","45",
"1400000US19043070600","Census Tract 706, Clayton County, Iowa","1549","115","1377","121","172","62",
"1400000US19045000100","Census Tract 1, Clinton County, Iowa","1744","188","1247","178","497","129",
"1400000US19045000200","Census Tract 2, Clinton County, Iowa","963","152","835","147","128","65",
"1400000US19045000300","Census Tract 3, Clinton County, Iowa","2485","236","1967","234","518","210",
"1400000US19045000400","Census Tract 4, Clinton County, Iowa","1725","193","1615","186","110","70",
"1400000US19045000500","Census Tract 5, Clinton County, Iowa","2300","192","2108","198","192","93",
"1400000US19045000600","Census Tract 6, Clinton County, Iowa","1770","171","1613","158","157","99",
"1400000US19045000700","Census Tract 7, Clinton County, Iowa","1794","191","1494","174","300","119",
"1400000US19045000800","Census Tract 8, Clinton County, Iowa","2443","180","2357","183","86","84",
"1400000US19045000900","Census Tract 9, Clinton County, Iowa","2603","219","2403","206","200","124",
"1400000US19045001000","Census Tract 10, Clinton County, Iowa","1661","158","1520","152","141","62",
"1400000US19045001100","Census Tract 11, Clinton County, Iowa","972","94","875","88","97","45",
"1400000US19045001200","Census Tract 12, Clinton County, Iowa","1654","124","1443","114","211","99",
"1400000US19047070100","Census Tract 701, Crawford County, Iowa","930","74","820","82","110","39",
"1400000US19047070200","Census Tract 702, Crawford County, Iowa","1063","77","923","77","140","43",
"1400000US19047070300","Census Tract 703, Crawford County, Iowa","1058","95","913","105","145","36",
"1400000US19047070401","Census Tract 704.01, Crawford County, Iowa","1098","122","1024","134","74","75",
"1400000US19047070402","Census Tract 704.02, Crawford County, Iowa","2106","173","2004","168","102","76",
"1400000US19047070500","Census Tract 705, Crawford County, Iowa","813","100","704","83","109","58",
"1400000US19049050100","Census Tract 501, Dallas County, Iowa","2434","181","2381","175","53","50",
"1400000US19049050200","Census Tract 502, Dallas County, Iowa","1552","108","1432","109","120","60",
"1400000US19049050300","Census Tract 503, Dallas County, Iowa","2019","173","1791","159","228","123",
"1400000US19049050400","Census Tract 504, Dallas County, Iowa","1489","193","1400","202","89","53",
"1400000US19049050500","Census Tract 505, Dallas County, Iowa","891","105","823","103","68","43",
"1400000US19049050600","Census Tract 506, Dallas County, Iowa","1261","101","1133","96","128","63",
"1400000US19049050700","Census Tract 507, Dallas County, Iowa","2211","151","2081","142","130","102",
"1400000US19049050803","Census Tract 508.03, Dallas County, Iowa","4057","300","3813","291","244","150",
"1400000US19049050805","Census Tract 508.05, Dallas County, Iowa","1899","180","1852","180","47","51",
"1400000US19049050807","Census Tract 508.07, Dallas County, Iowa","3644","336","3523","333","121","97",
"1400000US19049050812","Census Tract 508.12, Dallas County, Iowa","1374","156","1305","167","69","73",
"1400000US19049050813","Census Tract 508.13, Dallas County, Iowa","1010","187","955","202","55","82",
"1400000US19049050814","Census Tract 508.14, Dallas County, Iowa","2055","201","1923","231","132","130",
"1400000US19049050815","Census Tract 508.15, Dallas County, Iowa","1923","228","1880","233","43","58",
"1400000US19049050816","Census Tract 508.16, Dallas County, Iowa","2680","311","2160","272","520","302",
"1400000US19049050817","Census Tract 508.17, Dallas County, Iowa","2479","318","2479","318","0","14",
"1400000US19049050818","Census Tract 508.18, Dallas County, Iowa","1371","147","1340","157","31","47",
"1400000US19049050901","Census Tract 509.01, Dallas County, Iowa","1483","183","1304","158","179","129",
"1400000US19049050902","Census Tract 509.02, Dallas County, Iowa","1937","185","1808","166","129","75",
"1400000US19051080100","Census Tract 801, Davis County, Iowa","1750","86","1518","98","232","89",
"1400000US19051080200","Census Tract 802, Davis County, Iowa","1852","84","1664","119","188","101",
"1400000US19053960100","Census Tract 9601, Decatur County, Iowa","1136","86","928","76","208","72",
"1400000US19053960200","Census Tract 9602, Decatur County, Iowa","1676","118","1392","123","284","74",
"1400000US19053960300","Census Tract 9603, Decatur County, Iowa","1041","131","922","122","119","62",
"1400000US19055950100","Census Tract 9501, Delaware County, Iowa","1738","137","1587","152","151","63",
"1400000US19055950200","Census Tract 9502, Delaware County, Iowa","1271","91","1156","77","115","65",
"1400000US19055950300","Census Tract 9503, Delaware County, Iowa","2335","139","2200","158","135","119",
"1400000US19055950400","Census Tract 9504, Delaware County, Iowa","2764","153","1972","155","792","142",
"1400000US19057000200","Census Tract 2, Des Moines County, Iowa","1538","165","1396","182","142","99",
"1400000US19057000300","Census Tract 3, Des Moines County, Iowa","1906","118","1749","144","157","94",
"1400000US19057000400","Census Tract 4, Des Moines County, Iowa","1943","211","1484","220","459","152",
"1400000US19057000500","Census Tract 5, Des Moines County, Iowa","2054","189","1922","168","132","100",
"1400000US19057000600","Census Tract 6, Des Moines County, Iowa","1945","177","1769","164","176","81",
"1400000US19057000700","Census Tract 7, Des Moines County, Iowa","1653","208","1547","202","106","78",
"1400000US19057000800","Census Tract 8, Des Moines County, Iowa","1421","136","1299","116","122","85",
"1400000US19057000900","Census Tract 9, Des Moines County, Iowa","1581","189","1435","180","146","99",
"1400000US19057001000","Census Tract 10, Des Moines County, Iowa","2031","145","1956","147","75","54",
"1400000US19057001100","Census Tract 11, Des Moines County, Iowa","1526","118","1406","104","120","64",
"1400000US19057001200","Census Tract 12, Des Moines County, Iowa","1015","82","887","87","128","59",
"1400000US19059450200","Census Tract 4502, Dickinson County, Iowa","1125","83","946","82","179","57",
"1400000US19059450501","Census Tract 4505.01, Dickinson County, Iowa","1484","151","1239","151","245","111",
"1400000US19059450502","Census Tract 4505.02, Dickinson County, Iowa","1580","187","1307","166","273","142",
"1400000US19059450800","Census Tract 4508, Dickinson County, Iowa","1647","132","1533","131","114","58",
"1400000US19059451000","Census Tract 4510, Dickinson County, Iowa","2840","189","1349","191","1491","172",
"1400000US19059451100","Census Tract 4511, Dickinson County, Iowa","5372","202","2105","180","3267","183",
"1400000US19061000100","Census Tract 1, Dubuque County, Iowa","1586","182","1270","199","316","109",
"1400000US19061000300","Census Tract 3, Dubuque County, Iowa","1017","123","999","122","18","15",
"1400000US19061000400","Census Tract 4, Dubuque County, Iowa","1531","124","1421","141","110","68",
"1400000US19061000500","Census Tract 5, Dubuque County, Iowa","1947","188","1715","192","232","113",
"1400000US19061000600","Census Tract 6, Dubuque County, Iowa","1347","212","1196","226","151","90",
